RF00002,5.8S ribosomal RNA,
RF00003,U1 spliceosomal RNA,
RF00004,U2 spliceosomal RNA,
RF00005,tRNA,
RF00006,Vault RNA,
RF00007,U12 minor spliceosomal RNA,
RF00008,Hammerhead ribozyme (type III),
RF00009,Nuclear RNase P,
RF00010,Bacterial RNase P class A,
RF00011,Bacterial RNase P class B,
RF00012,Small nucleolar RNA U3,
RF00013,6S / SsrS RNA,
RF00014,DsrA RNA,
RF00015,U4 spliceosomal RNA,
RF00016,Small nucleolar RNA SNORD14,C/D
RF00017,Eukaryotic type signal recognition particle RNA,
RF01060,microRNA mir-568,mir-568,MIPF0000408
RF01061,microRNA mir-548,mir-548,MIPF0000317
RF01062,microRNA MIR812,mir-812,MIPF0000345
RF01063,microRNA mir-324,mir-324,MIPF0000165
RF01064,microRNA mir-253,mir-253,MIPF0000286
RF01065,23S methyl RNA motif,,
RF01066,6C RNA
RF01067,ATPC RNA motif
RF01068,mini-ykkC RNA motif
RF01069,purD RNA motif
RF01070,SucA RNA motif
RF01071,Ornate Large Extremophilic RNA
RF01072,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01073,Gag/pol translational readthrough site
RF01074,Putative RNA-dependent RNA polymerase ribosomal frameshift site
RF01075,Pseudoknot of tRNA-like structure
RF01076,Polymerase ribosomal frameshift site
RF01077,Pseudoknot of tRNA-like structure
RF01078,3'-terminal pseudoknot in PYVV
RF01079,Putative RNA-dependent RNA polymerase ribosomal frameshift site
RF01080,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01081,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01082,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01083,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01084,Pseudoknot of tRNA-like structure
RF01085,Pseudoknot of tRNA-like structure
RF01086,Long range pseudoknot
RF01087,Pseudoknot of the regulatory region of the repZ gene
RF01088,Pseudoknot of tRNA-like structure
RF01089,Pseudoknot of the regulatory region of the repBA gene
RF01090,Edr gene ribosomal frameshift signal
RF01091,3'-terminal pseudoknot in sweet potato chlorotic stunt virus
RF01092,Gag/pol translational readthrough site
RF01093,Ma3 gene ribosomal frameshift signal
RF01094,Polymerase ribosomal frameshift site
RF01095,3'-terminal pseudoknot of CuYV/BPYV
RF01096,3'end pseudoknot of HepA virus
RF01097,Gag/pro ribosomal frameshift site
RF01098,Gag/pro ribosomal frameshift site
RF01099,Pseudoknot of influenza A virus gene
RF01100,3'-terminal pseudoknot in BYV
RF01101,Pseudoknot of tRNA-like structure
RF01102,5'-leader pseudoknot of TEV/CVMV
RF01103,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01104,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01105,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01106,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01107,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01108,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01109,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01110,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01111,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01112,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01113,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01114,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR,,
RF01115,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR,,
RF01116,Cyanobacterial functional RNA 1,,
RF01117,Ciona microRNA mir-92,mir-92,MIPF0000509
RF01118,Pseudoknot of the domain G(G12) of 23S ribosomal RNA,,
RF01119,Small nucleolar RNA sR32,,
RF01120,Small nucleolar RNA sR33,,
RF01121,Small nucleolar RNA sR38,,
RF01122,Small nucleolar RNA sR39,,
RF01123,Small nucleolar RNA sR35,,
RF01124,Small nucleolar RNA sR36,,
RF01125,Small nucleolar RNA sR4,,
RF01126,Small nucleolar RNA sR41,,
RF01127,Small nucleolar RNA sR42,,
RF01128,Small nucleolar RNA sR42,,
RF01129,Small nucleolar RNA sR44,,
RF01130,Small nucleolar RNA sR46
RF01131,Small nucleolar RNA sR47
RF01132,Small nucleolar RNA sR48
RF01133,Small nucleolar RNA sR3
RF01134,Small nucleolar RNA sR30
RF01135,Small nucleolar RNA sR24
RF01136,Small nucleolar RNA sR28
RF01137,Small nucleolar RNA sR21
RF01138,Small nucleolar RNA sR23
RF01139,Small nucleolar RNA sR2
RF01140,Small nucleolar RNA sR20
RF01141,Small nucleolar RNA sR18
RF01142,Small nucleolar RNA sR19
RF01143,Small nucleolar RNA sR16
RF01144,Small nucleolar RNA sR17
RF01145,Small nucleolar RNA sR14
RF01146,Small nucleolar RNA sR15,
RF01147,Small nucleolar RNA sR12,
RF01148,Small nucleolar RNA sR13,
RF01149,Small nucleolar RNA sR10,
RF01150,Small nucleolar RNA sR11,
RF01151,Small nucleolar RNA U82P,
RF01152,Small nucleolar RNA sR1,
RF01153,Small nucleolar RNA sn3060,
RF01154,Small nucleolar RNA U43C,
RF01155,Small nucleolar RNA snoR101,
RF01156,Small nucleolar RNA SNORD123,C/D
RF01157,Small nucleolar RNA sn1185,
RF01158,Small nucleolar RNA SNORD108,C/D
RF01159,Small nucleolar RNA U18,
RF01160,Small nucleolar RNA sn2841,
RF01161,Small nucleolar RNA SNORD5,C/D
RF01162,Small nucleolar RNA sn668,
RF01163,Small nucleolar RNA snoR64a,
RF01164,Small nucleolar RNA SNORD107,C/D
RF01165,Small nucleolar RNA sn2317,
RF01166,Small nucleolar RNA sn3071,
RF01167,Small nucleolar RNA sn2429,
RF01168,Small nucleolar RNA SNORD126,C/D
RF01169,Small nucleolar RNA SNORD112,C/D
RF01170,Small nucleolar RNA U61,
RF01171,Small nucleolar RNA snoR4,
RF01172,Small nucleolar RNA sn2343,
RF01173,Small nucleolar RNA U105B,
RF01174,Small nucleolar RNA U43,
RF01175,Small nucleolar RNA U83,
RF01176,Small nucleolar RNA snR78,
RF01177,Small nucleolar RNA snR67,
RF01178,Small nucleolar RNA snoR77Y,
RF01179,Small nucleolar RNA U83,
RF01180,Small nucleolar RNA snoR110,
RF01181,Small nucleolar RNA snR77,
RF01182,Small nucleolar RNA SNORD11,C/D
RF01183,Small nucleolar RNA SNORD19B,C/D
RF01184,Small nucleolar RNA snR79,
RF01185,Small nucleolar RNA snR75,
RF01186,Small nucleolar RNA SNORD127,C/D
RF01187,Small nucleolar RNA U83C,
RF01188,Small nucleolar RNA snR56,
RF01189,Small nucleolar RNA sn1502,
RF01190,Small nucleolar RNA snR50,
RF01191,Small nucleolar RNA SNORD121A,C/D
RF01192,Small nucleolar RNA SNORD11B,C/D
RF01193,Small nucleolar RNA snoR20a,
RF01194,Small nucleolar RNA sn2903,
RF01195,Small nucleolar RNA snR52,
RF01196,Small nucleolar RNA Z30a,
RF01197,Small nucleolar RNA snR39,
RF01198,Small nucleolar RNA snoR69Y,
RF01199,Small nucleolar RNA snR58,
RF01200,Small nucleolar RNA SNORD125,C/D
RF01201,Small nucleolar RNA snR40,
RF01202,Small nucleolar RNA sn2991,
RF01203,Small nucleolar RNA snR47,
RF01204,Small nucleolar RNA snR65,
RF01205,Small nucleolar RNA snR62,
RF01206,Small nucleolar RNA snoR109,
RF01207,Small nucleolar RNA snR73,
RF01208,Small nucleolar RNA snoR99,
RF01209,Small nucleolar RNA snR76,
RF01210,Small nucleolar RNA U13,
RF01211,Small nucleolar RNA SNORD124,C/D
RF01212,Small nucleolar RNA sn2524,
RF01213,Small nucleolar RNA snoR103,
RF01214,Small nucleolar RNA snR51,
RF01215,Small nucleolar RNA snoR97,
RF01216,Small nucleolar RNA snR87,
RF01217,Small nucleolar RNA snoR72Y,
RF01218,Small nucleolar RNA snR41,
RF01219,Small nucleolar RNA snoR100,
RF01220,Small nucleolar RNA snoR104,
RF01221,Small nucleolar RNA U6-47,
RF01222,Small nucleolar RNA sn2417,
RF01223,Small nucleolar RNA snR13,
RF01224,Small nucleolar RNA snoR80,
RF01225,Small nucleolar RNA ACA64,
RF01226,Small nucleolar RNA Z5,
RF01227,Small nucleolar RNA snoR83,
RF01228,Small nucleolar RNA snoR111,
RF01229,Small nucleolar RNA SNORA84,H/ACA
RF01230,Small nucleolar RNA snoR77,
RF01231,Small nucleolar RNA snoR74,
RF01232,Small nucleolar RNA U40,
RF01233,Small nucleolar RNA U109,
RF01234,Small nucleolar RNA SNORA47,H/ACA
RF01235,Small nucleolar RNA snR68,
RF01236,Small nucleolar RNA U19,
RF01237,Small nucleolar RNA snR161,
RF01238,Small nucleolar RNA snR70,
RF01239,Small nucleolar RNA snR49,
RF01240,Small nucleolar RNA snR85,
RF01241,Small nucleolar RNA SNORA81,H/ACA
RF01242,Small nucleolar RNA snR36
RF01243,Small nucleolar RNA snR33
RF01244,Small nucleolar RNA snR4
RF01245,Small nucleolar RNA snR9
RF01246,Small nucleolar RNA snR81
RF01247,Small nucleolar RNA snR32
RF01248,Small nucleolar RNA snR8
RF01249,Small nucleolar RNA snR190
RF01250,Small nucleolar RNA snR189
RF01251,Small nucleolar RNA snR3
RF01252,Small nucleolar RNA snR5
RF01253,Small nucleolar RNA snR46
RF01254,Small nucleolar RNA snR34
RF01255,Small nucleolar RNA snR35
RF01256,Small nucleolar RNA snR43
RF01257,Small nucleolar RNA snR31
RF01258,Small nucleolar RNA snR10
RF01259,Small nucleolar RNA snR63
RF01260,Small nucleolar RNA snR11
RF01261,Small nucleolar RNA snR82
RF01262,Small nucleolar RNA snR44
RF01263,Small nucleolar RNA snR191
RF01264,Small nucleolar RNA snR83
RF01265,Small nucleolar RNA snR42
RF01266,Small nucleolar RNA snR45
RF01267,Small nucleolar RNA  snR37
RF01268,Small nucleolar RNA U2-25
RF01269,Small nucleolar RNA snR80
RF01270,Small nucleolar RNA snR84
RF01271,Small nucleolar RNA snR30
RF01272,Small nucleolar RNA snR86
RF01273,Small nucleolar RNA sR34
RF01274,Small nucleolar RNA sR45,
RF01275,Small nucleolar RNA sR22,
RF01276,Small nucleolar RNA sR53,
RF01277,Small nucleolar RNA U54,
RF01278,Small nucleolar RNA SNORD109A,C/D
RF01279,Small nucleolar RNA snoR53Y,
RF01280,Small nucleolar RNA snoR14,
RF01281,Small nucleolar RNA snoR35,
RF01282,Small nucleolar RNA snoR21b,
RF01283,Small nucleolar RNA U30,
RF01284,Small nucleolar RNA snoR8a,
RF01285,Small nucleolar RNA U31b,
RF01286,Small nucleolar RNA snoR26,
RF01287,Small nucleolar RNA snoR27,
RF01288,Small nucleolar RNA snoR31,
RF01289,Small nucleolar RNA snoR17,
RF01290,Small nucleolar RNA U6-77
RF01291,Small nucleolar RNA U97
RF01292,Small nucleolar RNA snoR2/U65
RF01293,Small nucleolar RNA ACA59
RF01294,Small nucleolar RNA U89
RF01295,Small nucleolar RNA U90
RF01296,Small nucleolar RNA U85
RF01297,Small nucleolar RNA sR40
RF01298,Small nucleolar RNA U25
RF01299,Small nucleolar RNA snR39B
RF01300,Small nucleolar RNA U49
RF01301,Small nucleolar RNA snoR4a
RF01302,SnoRNA U36a
RF01303,Small nucleolar RNA sR49
RF01304,Small nucleolar RNA sR5
RF01305,Small nucleolar RNA sR51
RF01306,Small nucleolar RNA sR52,,
RF01307,Small nucleolar RNA sR55,,
RF01308,Small nucleolar RNA sR58,,
RF01309,Small nucleolar RNA sR60,,
RF01310,Small nucleolar RNA sR7,,
RF01311,Small nucleolar RNA sR8,,
RF01312,Small nucleolar RNA sR9,,
RF01313,Heron HBV RNA encapsidation signal epsilon,,
RF01314,microRNA mir-1227,mir-1227,MIPF0000454
RF01315,CRISPR RNA direct repeat element,,
RF01316,CRISPR RNA direct repeat element,,
RF01317,CRISPR RNA direct repeat element,,
RF01318,CRISPR RNA direct repeat element,,
RF01319,CRISPR RNA direct repeat element,,
RF01320,CRISPR RNA direct repeat element,,
RF01321,CRISPR RNA direct repeat element,,
RF01322,CRISPR RNA direct repeat element
RF01323,CRISPR RNA direct repeat element
RF01324,CRISPR RNA direct repeat element
RF01325,CRISPR RNA direct repeat element
RF01326,CRISPR RNA direct repeat element
RF01327,CRISPR RNA direct repeat element
RF01328,CRISPR RNA direct repeat element
RF01329,CRISPR RNA direct repeat element
RF01330,CRISPR RNA direct repeat element
RF01331,CRISPR RNA direct repeat element
RF01332,CRISPR RNA direct repeat element
RF01333,CRISPR RNA direct repeat element
RF01334,CRISPR RNA direct repeat element
RF01335,CRISPR RNA direct repeat element
RF01336,CRISPR RNA direct repeat element
RF01337,CRISPR RNA direct repeat element
RF01338,CRISPR RNA direct repeat element
RF01339,CRISPR RNA direct repeat element
RF01340,CRISPR RNA direct repeat element
RF01341,CRISPR RNA direct repeat element
RF01342,CRISPR RNA direct repeat element
RF01343,CRISPR RNA direct repeat element
RF01344,CRISPR RNA direct repeat element
RF01345,CRISPR RNA direct repeat element
RF01346,CRISPR RNA direct repeat element
RF01347,CRISPR RNA direct repeat element
RF01348,CRISPR RNA direct repeat element
RF01349,CRISPR RNA direct repeat element
RF01350,CRISPR RNA direct repeat element
RF01351,CRISPR RNA direct repeat element
RF01352,CRISPR RNA direct repeat element
RF01353,CRISPR RNA direct repeat element
RF01354,CRISPR RNA direct repeat element
RF01355,CRISPR RNA direct repeat element
RF01356,CRISPR RNA direct repeat element
RF01357,CRISPR RNA direct repeat element
RF01358,CRISPR RNA direct repeat element
RF01359,CRISPR RNA direct repeat element
RF01360,CRISPR RNA direct repeat element
RF01361,CRISPR RNA direct repeat element
RF01362,CRISPR RNA direct repeat element
RF01363,CRISPR RNA direct repeat element
RF01364,CRISPR RNA direct repeat element
RF01365,CRISPR RNA direct repeat element
RF01366,CRISPR RNA direct repeat element
RF01367,CRISPR RNA direct repeat element
RF01368,CRISPR RNA direct repeat element
RF01369,CRISPR RNA direct repeat element
RF01370,CRISPR RNA direct repeat element
RF01371,CRISPR RNA direct repeat element
RF01372,CRISPR RNA direct repeat element
RF01373,CRISPR RNA direct repeat element
RF01374,CRISPR RNA direct repeat element
RF01375,CRISPR RNA direct repeat element
RF01376,CRISPR RNA direct repeat element
RF01377,CRISPR RNA direct repeat element
RF01378,CRISPR RNA direct repeat element
RF01379,CRISPR RNA direct repeat element
RF01380,Human immunodeficiency virus type 1 major splice donor
RF01381,HIV-1 stem-loop 3 Psi packaging signal
RF01382,HIV-1 stem-loop 4 packaging signal
RF01383,GRIK4 3 prime UTR element
RF01384,Invasion gene-associated RNA
RF01385,isrA Hfq binding RNA
RF01386,isrB Hfq binding RNA
RF01387,isrC Hfq binding RNA
RF01388,isrD Hfq binding RNA
RF01389,isrF Hfq binding RNA
RF01390,isrG Hfq binding RNA
RF01391,isrH Hfq binding RNA
RF01392,isrI Hfq binding RNA
RF01393,isrJ Hfq binding RNA
RF01394,isrK Hfq binding RNA
RF01395,isrL Hfq binding RNA
RF01396,isrN Hfq binding RNA
RF01397,isrO Hfq binding RNA
RF01398,isrP Hfq binding RNA
RF01399,isrQ Hfq binding RNA
RF01400,istR Hfq binding RNA
RF01401,rseX Hfq binding RNA
RF01402,STnc150 Hfq binding RNA
RF01403,STnc290 Hfq binding RNA
RF01404,STnc440 Hfq binding RNA
RF01405,STnc490k Hfq binding RNA
RF01406,STnc500 Hfq binding RNA
RF01407,STnc560 Hfq binding RNA
RF01408,sraL Hfq binding RNA
RF01409,STnc250 Hfq binding RNA
RF01410,BsrC
RF01411,BsrF
RF01412,BsrG
RF00001,5S ribosomal RNA
